,verse,terminacion
0,Hyderābād del proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Hyderābād aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
2,Hyderābād países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
3,Hyderābād los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
4,Hyderābād partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
5,Hyderābād de los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
6,Hyderābād para marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
7,Hyderābād contonce más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
8,Hyderābād las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Hyderābād de la biosfera de precios,"[<'pre':ccV>, <'cios':cvVs>]"
10,Hyderābād de la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
11,Hyderābād sa amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Hyderābād a el mismo para la salud,"[<'sa':sV>, <'lud':cvc>]"
13,Hyderābād un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
14,Hyderābād ndia de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
15,Hyderābād el consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
16,Hyderābād el calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
17,Hyderābād contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
18,Hyderābād guardo estado a la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
19,Hyderābād a la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
20,Hyderābād a la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
21,Hyderābād la actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
22,Hyderābād es de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
23,Hyderābād el aumento del madida,"[<'ma':cV>, <'di':cv>, <'da':cV>]"
24,Hyderābād diración de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
25,Hyderābād n el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
26,Hyderābād me considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
27,Hyderābād al siglo xx los estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
28,Hyderābād los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
29,Hyderābād se desalian el especie,"[<'es':Vs>, <'pe':cV>, <'cie':cvV>]"
30,Hyderābād especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
31,Hyderābād ir el estado de cumbre,"[<'cum':cvc>, <'bre':ccV>]"
32,Hyderābād correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
33,Hyderābād para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
34,Hyderābād y los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
35,Hyderābād la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
36,Hyderābād de los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
37,Hyderābād de calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
38,Hyderābād la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
39,Hyderābād contribución en la esta alla,"[<'a':V>, <'lla':ccV>]"
40,Hyderābād salia del calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
41,Hyderābād que los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
42,Hyderābād la aperación de la centra,"[<'cen':cVc>, <'tra':ccV>]"
43,Hyderābād pertinente con la reda,"[<'re':cV>, <'da':cV>]"
44,Hyderābād la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
45,Hyderābād de la cantidad de tiempo,"[<'tiem':cvVc>, <'po':cV>]"
46,Hyderābād los procesos de la inversión,"[<'in':vc>, <'ver':cVc>, <'sión':svVc>]"
47,Hyderābād el amor con los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
48,Hyderābād e se se puede ser tener,"[<'te':cV>, <'ner':cVc>]"
49,Hyderābād amor para que se poner,"[<'po':cV>, <'ner':cVc>]"
50,Hyderābād el consumo de un recurso,"[<'re':cV>, <'cur':cvc>, <'so':sV>]"
51,Hyderābād de la oriente climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
52,Hyderābād la temperatura medio,"[<'me':cV>, <'dio':cvV>]"
53,Hyderābād medio albiente con su fecha,"[<'fec':cVc>, <'ha':cV>]"
54,Hyderābād los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
55,Hyderābād por el paso de la guerra,"[<'gue':cvV>, <'rra':ccV>]"
56,Hyderābād escala de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
57,Hyderābād la forma de casa informe,"[<'in':vc>, <'for':cVc>, <'me':cV>]"
58,Hyderābād el consumo de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
59,Hyderābād r para mayor aumento,"[<'au':Vv>, <'men':cVc>, <'to':cV>]"
60,Hyderābād se podría energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
61,Hyderābād y las oficinas para,"[<'pa':cV>, <'ra':cV>]"
62,Hyderābād marcha de la mayoría,"[<'ma':cV>, <'yo':cV>, <'rí':cV>, <'a':V>]"
63,Hyderābād la mayoría del control,"[<'con':cVc>, <'trol':ccVc>]"
64,Hyderābād con bien en el correcionar,"[<'co':cV>, <'rre':ccV>, <'cio':cvV>, <'nar':cVc>]"
65,Hyderābād o de los comparaciones,"[<'com':cVc>, <'pa':cV>, <'ra':cV>, <'cio':cvV>, <'nes':cVs>]"
66,Hyderābād los comparaciones de esta,"[<'es':Vs>, <'ta':cV>]"
67,Hyderābād a por consumidor para,"[<'pa':cV>, <'ra':cV>]"
68,Hyderābād el siglo xx que los partes,"[<'par':cVc>, <'tes':cVs>]"
69,Hyderābād de las pautas de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
70,Hyderābād utica de la pertida,"[<'per':cVc>, <'ti':cv>, <'da':cV>]"
71,Hyderābād la pertida de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
72,Hyderābād decientes energéticos,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'cos':cVs>]"
