,verse,terminacion
0,Glen Waverley proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Glen Waverley en la recursosidad,"[<'re':cV>, <'cur':cvc>, <'so':sV>, <'si':sv>, <'dad':cVc>]"
2,Glen Waverley de entre el parto del mismo,"[<'mis':cvs>, <'mo':cV>]"
3,Glen Waverley ural de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
4,Glen Waverley los países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
5,Glen Waverley los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
6,Glen Waverley la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
7,Glen Waverley as en el sistema almo,"[<'al':Vc>, <'mo':cV>]"
8,Glen Waverley nte de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
9,Glen Waverley márido de la carta,"[<'car':cVc>, <'ta':cV>]"
10,Glen Waverley es un siglo xx estos,"[<'es':Vs>, <'tos':cVs>]"
11,Glen Waverley de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
12,Glen Waverley consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
13,Glen Waverley de la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
14,Glen Waverley calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
15,Glen Waverley las nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Glen Waverley la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
17,Glen Waverley la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
18,Glen Waverley te de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
19,Glen Waverley de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
20,Glen Waverley ntuad para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
21,Glen Waverley es el mercado pero,"[<'pe':cV>, <'ro':cV>]"
22,Glen Waverley de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
23,Glen Waverley es de algunos países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
24,Glen Waverley compensario a la intersión,"[<'in':vc>, <'ter':cVc>, <'sión':svVc>]"
25,Glen Waverley carbona en la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
26,Glen Waverley e la nueva alta al nivel,"[<'ni':cv>, <'vel':cVc>]"
27,Glen Waverley en la inercia de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
28,Glen Waverley re en la emisión de todos,"[<'to':cV>, <'dos':cVs>]"
29,Glen Waverley el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
30,Glen Waverley considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
31,Glen Waverley lo que hay que se viere,"[<'vie':cvV>, <'re':cV>]"
32,Glen Waverley el estado de cumbre,"[<'cum':cvc>, <'bre':ccV>]"
33,Glen Waverley de cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
34,Glen Waverley en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
35,Glen Waverley de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
36,Glen Waverley los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
37,Glen Waverley los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
38,Glen Waverley calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
39,Glen Waverley e medidas permiten,"[<'per':cVc>, <'mi':cv>, <'ten':cVc>]"
40,Glen Waverley permiten de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
41,Glen Waverley de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
42,Glen Waverley contribución en la esta,"[<'es':Vs>, <'ta':cV>]"
43,Glen Waverley de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
44,Glen Waverley los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
45,Glen Waverley io de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
46,Glen Waverley timo en la sopirticad,"[<'so':sV>, <'pir':cvc>, <'ti':cv>, <'cad':cVc>]"
47,Glen Waverley general del progreso,"[<'pro':ccV>, <'gre':ccV>, <'so':sV>]"
48,Glen Waverley se se puede ser tener,"[<'te':cV>, <'ner':cVc>]"
49,Glen Waverley umbre al calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
50,Glen Waverley ado de la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
51,Glen Waverley en la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
52,Glen Waverley de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
53,Glen Waverley s de esta poderpera,"[<'po':cV>, <'der':cVc>, <'pe':cV>, <'ra':cV>]"
54,Glen Waverley n las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
55,Glen Waverley la lucha de ser alta,"[<'al':Vc>, <'ta':cV>]"
56,Glen Waverley el paso de la guerra,"[<'gue':cvV>, <'rra':ccV>]"
57,Glen Waverley ente a la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
58,Glen Waverley de las temperaturas,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ras':cVs>]"
59,Glen Waverley ición de su procisa,"[<'pro':ccV>, <'ci':cv>, <'sa':sV>]"
60,Glen Waverley por la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
61,Glen Waverley e que se pode para,"[<'pa':cV>, <'ra':cV>]"
62,Glen Waverley a un forzamiento también,"[<'tam':cVc>, <'bién':cvVc>]"
63,Glen Waverley de la forma de casa,"[<'ca':cV>, <'sa':sV>]"
64,Glen Waverley consumo de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
65,Glen Waverley de emisiones de gases,"[<'ga':cV>, <'ses':sVs>]"
66,Glen Waverley se desarrollan casa,"[<'ca':cV>, <'sa':sV>]"
67,Glen Waverley e a mucha marca descual,"[<'des':cVs>, <'cual':cvVc>]"
68,Glen Waverley para mayor aumento,"[<'au':Vv>, <'men':cVc>, <'to':cV>]"
69,Glen Waverley del mar de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
70,Glen Waverley consideración para,"[<'pa':cV>, <'ra':cV>]"
71,Glen Waverley inda de las palieras,"[<'pa':cV>, <'lie':cvV>, <'ras':cVs>]"
72,Glen Waverley cuentia de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
73,Glen Waverley podría energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
74,Glen Waverley a los interseñores,"[<'in':vc>, <'ter':cVc>, <'se':sV>, <'ño':cV>, <'res':cVs>]"
75,Glen Waverley las oficinas para,"[<'pa':cV>, <'ra':cV>]"
76,Glen Waverley bien en el correcionar,"[<'co':cV>, <'rre':ccV>, <'cio':cvV>, <'nar':cVc>]"
77,Glen Waverley de los comparaciones,"[<'com':cVc>, <'pa':cV>, <'ra':cV>, <'cio':cvV>, <'nes':cVs>]"
78,Glen Waverley comparaciones de esta,"[<'es':Vs>, <'ta':cV>]"
79,Glen Waverley por consumidor para,"[<'pa':cV>, <'ra':cV>]"
80,Glen Waverley siglo xx que los partes,"[<'par':cVc>, <'tes':cVs>]"
81,Glen Waverley los combustibles fueron,"[<'fue':cvV>, <'ron':cVc>]"
82,Glen Waverley entarión de las pautas,"[<'pau':cVv>, <'tas':cVs>]"
83,Glen Waverley las pautas de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
84,Glen Waverley energéticos entre,"[<'en':Vc>, <'tre':ccV>]"
85,Glen Waverley puede ser concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
86,Glen Waverley concentración del caso,"[<'ca':cV>, <'so':sV>]"
87,Glen Waverley se se contenta el marco,"[<'mar':cVc>, <'co':cV>]"
88,Glen Waverley así como un problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
89,Glen Waverley s de la contratuira,"[<'con':cVc>, <'tra':ccV>, <'tui':cvv>, <'ra':cV>]"
90,Glen Waverley consecuencia del clima,"[<'cli':ccv>, <'ma':cV>]"
91,Glen Waverley del clima de modelos,"[<'mo':cV>, <'de':cV>, <'los':cVs>]"
92,Glen Waverley aumento del problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
93,Glen Waverley primer calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
94,Glen Waverley calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
95,Glen Waverley global de la estudida,"[<'es':Vs>, <'tu':cv>, <'di':cv>, <'da':cV>]"
96,Glen Waverley ientia de la previsión,"[<'pre':ccV>, <'vi':cv>, <'sión':svVc>]"
97,Glen Waverley e de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
98,Glen Waverley la tierra y contención,"[<'con':cVc>, <'ten':cVc>, <'ción':cvVc>]"
99,Glen Waverley contención de los partes,"[<'par':cVc>, <'tes':cVs>]"
100,Glen Waverley ente de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
101,Glen Waverley de las gases de efecto,"[<'e':V>, <'fec':cVc>, <'to':cV>]"
102,Glen Waverley mente de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
103,Glen Waverley de la población están,"[<'es':Vs>, <'tán':cVc>]"
104,Glen Waverley previsión de los medios,"[<'me':cV>, <'dios':cvVs>]"
105,Glen Waverley carbono e internacional,"[<'in':vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nal':cVc>]"
106,Glen Waverley problema de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
107,Glen Waverley del gas de los altimos,"[<'al':Vc>, <'ti':cv>, <'mos':cVs>]"
108,Glen Waverley de los altimos o antes,"[<'an':Vc>, <'tes':cVs>]"
109,Glen Waverley ico de los alternos,"[<'al':Vc>, <'ter':cVc>, <'nos':cVs>]"
110,Glen Waverley los alternos de especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
111,Glen Waverley idente en los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
112,Glen Waverley es puedo estar la salud,"[<'sa':sV>, <'lud':cvc>]"
113,Glen Waverley ente de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
114,Glen Waverley el estado por algo,"[<'al':Vc>, <'go':cV>]"
115,Glen Waverley con el calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
