,verse,terminacion
0,Nouméa del proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Nouméa países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
2,Nouméa los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
3,Nouméa partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
4,Nouméa de los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
5,Nouméa para marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
6,Nouméa a la presencia de la salud,"[<'sa':sV>, <'lud':cvc>]"
7,Nouméa contonce más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
8,Nouméa las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Nouméa de la biosfera de precios,"[<'pre':ccV>, <'cios':cvVs>]"
10,Nouméa de la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
11,Nouméa sa amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Nouméa es un siglo xx estos partes,"[<'par':cVc>, <'tes':cVs>]"
13,Nouméa ndia de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
14,Nouméa contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
15,Nouméa guardo estado a la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
16,Nouméa la actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
17,Nouméa aumenta de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
18,Nouméa en el que se definitica,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'ca':cV>]"
19,Nouméa diración de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
20,Nouméa a la intersión del capacidad,"[<'ca':cV>, <'pa':cV>, <'ci':cv>, <'dad':cVc>]"
21,Nouméa n el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
22,Nouméa me considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
23,Nouméa los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
24,Nouméa se desalian el especie,"[<'es':Vs>, <'pe':cV>, <'cie':cvV>]"
25,Nouméa correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
26,Nouméa para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
27,Nouméa y los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
28,Nouméa la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
29,Nouméa de los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
